Designator,Mid X,Mid Y,Rotation,Layer
C1,64.96,7.42,90.0,bottom
C10,95.004222,21.324932,135.0,top
C11,111.2,14.575,180.0,top
C12,109.525,42.325,0.0,bottom
C13,113.0,32.55,180.0,bottom
C14,127.425068,21.254222,225.0,top
C15,109.55,32.55,0.0,bottom
C16,134.175,37.45,270.0,top
C17,127.495778,53.675068,315.0,top
C18,111.3,60.425,0.0,top
C19,95.074932,53.745778,45.0,top
C2,62.4625,16.645,0.0,bottom
C20,110.845,60.675,180.0,bottom
C21,107.095,57.975,90.0,bottom
C22,125.1,60.525,180.0,bottom
C23,121.395,57.945,90.0,bottom
C24,22.92,44.46,0.0,bottom
C25,40.94,44.6,0.0,bottom
C3,62.365,19.88,0.0,bottom
C4,67.725,19.9,180.0,bottom
C5,67.725,16.635,180.0,bottom
C6,87.9,16.225,90.0,bottom
C7,85.55,9.425,90.0,bottom
C8,87.75,8.9,90.0,bottom
C9,88.325,37.55,90.0,top
D1,129.625,25.7,180.0,bottom
D10,6.75,51.425,270.0,bottom
D12,27.02,44.59,270.0,bottom
D13,45.04,44.685,270.0,bottom
D2,92.25,37.5,90.0,top
D3,97.814971,24.064971,135.0,top
D4,111.25,18.5,180.0,top
D5,124.685029,24.064971,225.0,top
D6,130.25,37.5,270.0,top
D7,124.685029,50.935029,315.0,top
D8,111.25,56.5,0.0,top
D9,97.814971,50.935029,45.0,top
HS1,28.465,47.13,270.0,bottom
HS2,46.46,47.225,270.0,bottom
J1,17.165,69.975,180.0,bottom
J2,118.675,16.08,0.0,top
J3,95.815624,70.2,0.0,bottom
J4,67.43125,70.2,0.0,bottom
J5,80.373437,70.2,0.0,bottom
J6,111.257811,70.2,0.0,bottom
J7,121.7,70.3,0.0,bottom
J8,36.86,70.05,180.0,bottom
J9,56.555,70.05,180.0,bottom
LD1,72.825,5.8,0.0,bottom
LD2,72.825,14.8625,0.0,bottom
LD3,72.825,23.925,0.0,bottom
LS1,132.75,15.925,180.0,bottom
PS1,13.545,11.355,0.0,bottom
Q1,123.5875,25.575,180.0,bottom
R1,72.9375,3.65,0.0,bottom
R10,111.95,14.9125,270.0,bottom
R11,108.75,39.6125,90.0,bottom
R12,113.775,35.2375,270.0,bottom
R13,108.775,35.2375,270.0,bottom
R14,107.095,53.705,270.0,bottom
R15,114.495,60.675,0.0,bottom
R16,107.09,60.675,0.0,bottom
R17,121.4,53.675,270.0,bottom
R18,128.845,60.525,0.0,bottom
R19,121.345,60.525,0.0,bottom
R2,73.1,12.55,0.0,bottom
R20,14.1675,61.51,0.0,bottom
R21,68.675,58.75,270.0,bottom
R22,68.65,47.625,90.0,bottom
R23,68.6,36.5,90.0,bottom
R24,14.1675,55.76,0.0,bottom
R25,14.1675,39.04,0.0,bottom
R26,14.1675,32.75,0.0,bottom
R27,22.72,50.135,90.0,bottom
R28,40.715,50.2125,90.0,bottom
R29,87.0,20.05,0.0,bottom
R3,80.8,37.8375,90.0,bottom
R4,124.0,28.3,180.0,bottom
R5,72.9375,21.775,0.0,bottom
R6,86.1,16.1,270.0,bottom
R7,111.9,25.1125,270.0,bottom
R8,104.0125,28.3,0.0,bottom
R9,111.95,11.1125,270.0,bottom
SW1,81.3,5.85,270.0,bottom
SW2,108.75,30.0,90.0,top
U1,65.285,25.945,0.0,bottom
U2,43.8,37.475,90.0,top
U3,99.175,15.92,0.0,bottom
U4,110.845,55.725,90.0,bottom
U5,125.095,55.725,90.0,bottom
U6,58.43,55.29,0.0,bottom
U7,66.03,49.355,180.0,bottom
U8,66.03,38.37,180.0,bottom
